	date	hashtags	text	user	verifieduser	registeredon	followersuser	followinguser	tweetsuser	favoritestweetsuser	retweet	quote	reply	likes	language	device	location	latitude	longitude
79	Wed Jul 08 19:55:06 +0000 2020	[]	@dustocles @dhounshe1 @Sci_Phile Im not against what BLM stands for, but I'm not comfortable with people being irre… https://t.co/6LPdB9WI75	NecerusAnon	False	Fri Feb 20 07:26:29 +0000 2015	4	71	448	302	0	0	0	0	en	WEB APP	Florida, USA	27.7567667	-81.4639835
80	Wed Jul 08 19:55:06 +0000 2020	[]	RT @o_antagonista: .@jairbolsonaro manifesta pesar pela morte de pastor com Covid-19. https://t.co/XU8nQQV9oO	LuciaCa86838545	False	Sat Jun 22 12:05:06 +0000 2019	3190	3450	20684	38545	0	0	0	0	pt	WEB APP	Rio de Janeiro, Brasil	-22.9110137	-43.2093727
84	Wed Jul 08 19:55:06 +0000 2020	[]	@marc_benton @FradetRon They are trying to say if you die from cancer, heart attack, etc. that was caused by hospit… https://t.co/Ac3rOG0kEL	tothehilttv	False	Sun Feb 28 01:18:34 +0000 2010	43	106	431	5001	0	0	0	0	en	IPHONE	Los Angeles, CA	34.0536909	-118.2427666
87	Wed Jul 08 19:55:06 +0000 2020	[]	RT @locdupshawty: Why didn't you immediately quarantine while you were waiting?? So you just kept living life while you had the possibility…	ChillJordan	False	Fri May 13 17:09:51 +0000 2011	2839	868	109488	115788	0	0	0	0	en	IPHONE	CLT 	35.21074145	-80.9457435226013
88	Wed Jul 08 19:55:06 +0000 2020	[]	RT @KeishaBottoms: We FINALLY received our test results taken 8 days before. One person in my house was positive then. By the time we teste…	tgabe63	False	Mon Jul 04 21:14:09 +0000 2011	682	1652	28602	23699	0	0	0	0	en	WEB APP	 Illinois	40.0796606	-89.4337288
89	Wed Jul 08 19:55:06 +0000 2020	[]	"RT @Mariah__Driver: It's been 82 days since I tested positive for COVID-19, and I'm still experiencing symptoms. 

After 82 days of nausea,…"	Miqozoomies	False	Mon Jun 15 02:05:14 +0000 2015	65	124	40519	1982	0	0	0	0	en	IPHONE	Arizona, USA	34.395342	-111.7632755
90	Wed Jul 08 19:55:06 +0000 2020	[]	"RT @VTVcanal8: Despliegan en Venezuela jornadas de desinfección de espacios públicos para la contención de la Covid-19

#VenezuelaTriunfant…"	ViceVenezuela	False	Tue May 31 21:09:35 +0000 2011	351988	1120	107032	8301	0	0	0	0	es	WEB APP	Caracas - Venezuela	10.506098	-66.9146017
91	Wed Jul 08 19:55:06 +0000 2020	['Arizona']	RT @Cleavon_MD: I’m an ER Doctor. I’m not sending my kids to school in #Arizona during a fucking pandemic. I’m okay risking my life to trea…	jeannegustafson	False	Tue Mar 01 15:07:13 +0000 2011	1771	2735	32670	48866	0	0	0	0	en	WEB APP	Seattle, WA	47.6038321	-122.3300624
93	Wed Jul 08 19:55:06 +0000 2020	[]	RT @OoCPokemon: politicians during covid-19 https://t.co/sdzuNAll4g	AlphaXenio	False	Thu Mar 31 20:07:11 +0000 2016	255	189	21307	35724	0	0	0	0	en	WEB APP	Austria	47.2000338	13.199959
94	Wed Jul 08 19:55:06 +0000 2020	[]	RT @DWUhlfelderLaw: According to NBC News reporting, Florida has second most COVID-19 deaths in last 7 days at 438.  California has 468.	shoot_holy	False	Thu Nov 09 20:28:31 +0000 2017	3633	4562	54218	75623	0	0	0	0	en	WEB APP	Orlando, FL	28.5421109	-81.3790304
